id,align,enableFill,caption,type,src,width,height,mediaType,name,pname,position
565,L,0,"thanks to John Ruby",1,/media/image_565.jpg,990,600,jpg,file,archive.cars,14
92,L,0,NULL,1,/media/archive_people_14.jpg,990,600,jpg,file,archive.people,14
565,L,0,"thanks to John Ruby",2,/media/image_565_thumb.jpg,88,100,jpg,preview,archive.cars,14
92,L,0,NULL,2,/media/archive_people_14_thumb.jpg,88,100,jpg,preview,archive.people,14
530,L,1,NULL,1,/media/image_530.jpg,990,600,jpg,file,people,15
801,L,0,,1,/media/image_801.jpg,990,600,jpg,file,cars,15
530,L,1,NULL,2,/media/image_530_thumb.jpg,88,100,jpg,preview,people,15
801,L,0,,2,/media/image_801_thumb.jpg,88,100,jpg,preview,cars,15
566,L,1,,1,/media/image_566.jpg,990,600,jpg,file,archive.cars,15
141,L,0,NULL,1,/media/image_141.jpg,990,600,jpg,file,archive.people,15
566,L,1,,2,/media/image_566_thumb.jpg,88,100,jpg,preview,archive.cars,15
141,L,0,NULL,2,/media/image_141_thumb.jpg,88,100,jpg,preview,archive.people,15
212,R,0,Najette,1,/media/image_212.jpg,990,600,jpg,file,people,16
616,L,0,"or scroll with right arrow key",1,/media/image_616.jpg,990,600,jpg,file,cars,16
212,R,0,Najette,2,/media/image_212_thumb.jpg,88,100,jpg,preview,people,16
616,L,0,"or scroll with right arrow key",2,/media/image_616_thumb.jpg,88,100,jpg,preview,cars,16
969,L,0,NULL,1,/media/image_969.jpg,990,600,jpg,file,archive.cars,16
142,L,1,GQ,1,/media/image_142.jpg,990,600,jpg,file,archive.people,16
969,L,0,NULL,2,/media/image_969_thumb.jpg,88,100,jpg,preview,archive.cars,16
142,L,1,GQ,2,/media/image_142_thumb.jpg,88,100,jpg,preview,archive.people,16
199,L,1,,1,/media/image_199.jpg,990,600,jpg,file,people,17
199,L,1,,2,/media/image_199_thumb.jpg,88,100,jpg,preview,people,17
929,R,0,NULL,1,/media/image_929.jpg,990,600,jpg,file,cars,17
929,R,0,NULL,2,/media/image_929_thumb.jpg,88,100,jpg,preview,cars,17
814,L,0,NULL,1,/media/image_814.jpg,990,600,jpg,file,archive.cars,17
97,L,1,,1,/media/archive_people_19.jpg,990,600,jpg,file,archive.people,17
814,L,0,NULL,2,/media/image_814_thumb.jpg,88,100,jpg,preview,archive.cars,17
97,L,1,,2,/media/archive_people_19_thumb.jpg,88,100,jpg,preview,archive.people,17
171,L,1,"Baselitz Atelier",1,/media/image_171.jpg,990,600,jpg,file,people,18
171,L,1,"Baselitz Atelier",2,/media/image_171_thumb.jpg,88,100,jpg,preview,people,18
898,L,0,NULL,1,/media/image_898.jpg,990,600,jpg,file,cars,18
898,L,0,NULL,2,/media/image_898_thumb.jpg,88,100,jpg,preview,cars,18
813,L,0,NULL,1,/media/image_813.jpg,990,600,jpg,file,archive.cars,18
95,L,0,NULL,1,/media/archive_people_17.jpg,990,600,jpg,file,archive.people,18
813,L,0,NULL,2,/media/image_813_thumb.jpg,88,100,jpg,preview,archive.cars,18
95,L,0,NULL,2,/media/archive_people_17_thumb.jpg,88,100,jpg,preview,archive.people,18
198,L,0,"KODAK Portra 160UC",1,/media/image_198.jpg,990,600,jpg,file,people,19
806,L,0,"CGI  RECOM  !",1,/media/image_806.jpg,990,600,jpg,file,cars,19
198,L,0,"KODAK Portra 160UC",2,/media/image_198_thumb.jpg,88,100,jpg,preview,people,19
806,L,0,"CGI  RECOM  !",2,/media/image_806_thumb.jpg,88,100,jpg,preview,cars,19
811,L,0,NULL,1,/media/image_811.jpg,990,600,jpg,file,archive.cars,19
137,L,0,"Blixa + Beck",1,/media/image_137.jpg,990,600,jpg,file,archive.people,19
811,L,0,NULL,2,/media/image_811_thumb.jpg,88,100,jpg,preview,archive.cars,19
137,L,0,"Blixa + Beck",2,/media/image_137_thumb.jpg,88,100,jpg,preview,archive.people,19
37,L,0,NULL,1,/media/people_11.jpg,990,600,jpg,file,people,20
37,L,0,NULL,2,/media/people_11_thumb.jpg,88,100,jpg,preview,people,20
1003,L,0,NULL,1,/media/image_1003.jpg,990,600,jpg,file,cars,20
1003,L,0,NULL,2,/media/image_1003_thumb.jpg,88,100,jpg,preview,cars,20
794,L,0,NULL,1,/media/image_794.jpg,990,600,jpg,file,archive.cars,20
205,L,0,NULL,1,/media/image_205.jpg,990,600,jpg,file,archive.people,20
794,L,0,NULL,2,/media/image_794_thumb.jpg,88,100,jpg,preview,archive.cars,20
205,L,0,NULL,2,/media/image_205_thumb.jpg,88,100,jpg,preview,archive.people,20
203,L,1,Barbara,1,/media/image_203.jpg,990,600,jpg,file,people,21
203,L,1,Barbara,2,/media/image_203_thumb.jpg,88,100,jpg,preview,people,21
1001,L,0,NULL,1,/media/image_1001.jpg,990,600,jpg,file,cars,21
1001,L,0,NULL,2,/media/image_1001_thumb.jpg,88,100,jpg,preview,cars,21
941,L,0,NULL,1,/media/image_941.jpg,990,600,jpg,file,archive.cars,21
158,L,0,"Bayern LB + Gazprom",1,/media/image_158.jpg,990,600,jpg,file,archive.people,21
941,L,0,NULL,2,/media/image_941_thumb.jpg,88,100,jpg,preview,archive.cars,21
158,L,0,"Bayern LB + Gazprom",2,/media/image_158_thumb.jpg,88,100,jpg,preview,archive.people,21
238,L,1,"Danny Boyle Slumdog Millionaire",1,/media/image_238.jpg,990,600,jpg,file,people,22
238,L,1,"Danny Boyle Slumdog Millionaire",2,/media/image_238_thumb.jpg,88,100,jpg,preview,people,22
1000,L,0,NULL,1,/media/image_1000.jpg,990,600,jpg,file,cars,22
1000,L,0,NULL,2,/media/image_1000_thumb.jpg,88,100,jpg,preview,cars,22
966,L,0,NULL,1,/media/image_966.jpg,990,600,jpg,file,archive.cars,22
200,L,0,NULL,1,/media/image_200.jpg,990,600,jpg,file,archive.people,22
966,L,0,NULL,2,/media/image_966_thumb.jpg,88,100,jpg,preview,archive.cars,22
200,L,0,NULL,2,/media/image_200_thumb.jpg,88,100,jpg,preview,archive.people,22
237,L,0,"Danny Boyle   SIGMA SD10",1,/media/image_237.jpg,990,600,jpg,file,people,23
237,L,0,"Danny Boyle   SIGMA SD10",2,/media/image_237_thumb.jpg,88,100,jpg,preview,people,23
999,R,0,NULL,1,/media/image_999.jpg,990,600,jpg,file,cars,23
999,R,0,NULL,2,/media/image_999_thumb.jpg,88,100,jpg,preview,cars,23
844,L,0,NULL,1,/media/image_844.jpg,990,600,jpg,file,archive.cars,23
132,R,0,"John Lee Hooker",1,/media/image_132.jpg,990,600,jpg,file,archive.people,23
844,L,0,NULL,2,/media/image_844_thumb.jpg,88,100,jpg,preview,archive.cars,23
132,R,0,"John Lee Hooker",2,/media/image_132_thumb.jpg,88,100,jpg,preview,archive.people,23
197,L,1,"Steven Frears + Phil",1,/media/image_197.jpg,990,600,jpg,file,people,24
